#{"t_start": 1686907892.3570275, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,76.931484
-200.0,200,77.097071
-200.0,200,77.252712
-200.0,200,79.621432
-200.0,200,79.843879
-200.0,200,80.058342
-200.0,200,80.234903
-200.0,200,80.39351
-200.0,200,80.54214
-200.0,200,80.701741
-200.0,200,80.853051
-200.0,200,81.008665
-200.0,200,81.176244
-200.0,200,83.497614
-200.0,200,83.731063
-200.0,200,83.945529
-200.0,200,84.142039
-200.0,200,84.331679
-200.0,200,84.49627
-200.0,200,84.660859
-200.0,200,84.832459
-200.0,200,84.994083
-200.0,200,85.138695
-200.0,200,87.263058
-200.0,200,87.515488
-200.0,200,87.751122
-200.0,200,88.013471
-200.0,200,88.26983
-200.0,200,88.535171
-200.0,200,88.818464
-200.0,200,89.101758
-200.0,200,89.360118
-200.0,200,89.626454
-200.0,200,92.575164
-200.0,200,92.841511
-200.0,200,93.072004
-200.0,200,93.276493
-200.0,200,93.460006
-200.0,200,93.645573
-200.0,200,93.831252
-200.0,200,93.998805
-200.0,200,94.161429
-200.0,200,94.358811
-200.0,200,94.51941
-200.0,200,96.903152
-200.0,200,97.12064
-200.0,200,97.336246
-200.0,200,97.513775
-200.0,200,97.702334
-200.0,200,97.887845
-200.0,200,98.120267
-200.0,200,98.323776
-200.0,200,98.52428
-200.0,200,98.728799
-200.0,200,101.823211
-200.0,200,102.081569
-200.0,200,102.291079
-200.0,200,102.471168
-200.0,200,102.649723
-200.0,200,102.807337
-200.0,200,102.954963
-200.0,200,103.121521
-200.0,200,103.33601
-200.0,200,103.538508
-200.0,200,106.546834
-200.0,200,106.818891
-200.0,200,107.028369
-200.0,200,107.208978
-200.0,200,107.396512
-200.0,200,107.565199
-200.0,200,107.74835
-200.0,200,107.926414
-200.0,200,108.089048
-200.0,200,108.261645
-200.0,200,110.943569
-200.0,200,111.262563
-200.0,200,111.478053
-200.0,200,111.688524
-200.0,200,111.901963
-200.0,200,112.079559
-200.0,200,112.268091
-200.0,200,112.451636
-200.0,200,112.631215
-200.0,200,112.816727
-200.0,200,112.991319
-200.0,200,115.342032
-200.0,200,115.562482
-200.0,200,115.758992
-200.0,200,115.941567
-200.0,200,116.120123
-200.0,200,116.306687
-200.0,200,116.491227
-200.0,200,116.665764
-200.0,200,116.859285
-200.0,200,117.027893
-200.0,200,119.257462
-200.0,200,119.500416
-200.0,200,119.716907
-200.0,200,119.90377
-200.0,200,120.081987
-200.0,200,120.264532
-200.0,200,120.438639
-200.0,200,120.609184
-200.0,200,120.775769
-200.0,200,120.935401
-200.0,200,123.223552
-200.0,200,123.454974
-200.0,200,123.650119
-200.0,200,123.819151
-200.0,200,123.97673
-200.0,200,124.128385
-200.0,200,124.27399
-200.0,200,124.415664
-200.0,200,124.561328
-200.0,200,124.699985
-200.0,200,126.579318
-200.0,200,126.806358
-200.0,200,126.987903
-200.0,200,127.160008
-200.0,200,127.328583
-200.0,200,127.49218
-200.0,200,127.65577
-200.0,200,127.81834
-200.0,200,127.981929
-200.0,200,128.140562
-200.0,200,128.298173
-200.0,200,130.517457
-200.0,200,130.699999
-200.0,200,130.870574
-200.0,200,131.034168
-200.0,200,131.185844
-200.0,200,131.34049
-200.0,200,131.491085
-200.0,200,131.635751
-200.0,200,131.779394
-200.0,200,131.919046
-200.0,200,133.97251
-200.0,200,134.246826
-200.0,200,134.490254
-200.0,200,134.722672
-200.0,200,134.908184
-200.0,200,135.085767
-200.0,200,135.246367
-200.0,200,135.399095
-200.0,200,135.554735
-200.0,200,135.700345
-200.0,200,138.053164
-200.0,200,138.270653
-200.0,200,138.47013
-200.0,200,138.667671
-200.0,200,138.874726
-200.0,200,139.065789
-200.0,200,139.2674
-200.0,200,139.439998
-200.0,200,139.595611
-200.0,200,139.757774
-200.0,200,142.601061
-200.0,200,142.903312
-200.0,200,143.148728
-200.0,200,143.366157
-200.0,200,143.546848
-200.0,200,143.712434
-200.0,200,143.862096
-200.0,200,144.005738
-200.0,200,144.140424
-200.0,200,144.280048
-200.0,200,144.420724
-200.0,200,146.534042
-200.0,200,146.698633
-200.0,200,146.842275
-200.0,200,146.977423
-200.0,200,147.112599
-200.0,200,147.243281
-200.0,200,147.409877
-200.0,200,147.563533
-200.0,200,147.731238
-200.0,200,147.887848
-200.0,200,149.940821
-200.0,200,150.114415
-200.0,200,150.258216
-200.0,200,150.38989
-200.0,200,150.531536
-200.0,200,150.6682
-200.0,200,150.836776
-200.0,200,150.995389
-200.0,200,151.142017
-200.0,200,151.285658
-200.0,200,153.166173
-200.0,200,153.328305
-200.0,200,153.463968
-200.0,200,153.589656
-200.0,200,153.706397
-200.0,200,153.823596
-200.0,200,153.942301
-200.0,200,154.058012
-200.0,200,154.174753
-200.0,200,154.288439
-200.0,200,155.834176
-200.0,200,156.035702
-200.0,200,156.187328
-200.0,200,156.326949
-200.0,200,156.45167
-200.0,200,156.567351
-200.0,200,156.683062
-200.0,200,156.79678
-200.0,200,156.910527
-200.0,200,157.025237
-200.0,200,157.136538
-200.0,200,158.54552
-200.0,200,158.691159
-200.0,200,158.819841
-200.0,200,158.939573
-200.0,200,159.054283
-200.0,200,159.167006
-200.0,200,159.280691
-200.0,200,159.396404
-200.0,200,159.512147
-200.0,200,159.625878
-200.0,200,161.049772
-200.0,200,161.207384
-200.0,200,161.332224
-200.0,200,161.445909
-200.0,200,161.564615
-200.0,200,161.690302
-200.0,200,161.817065
-200.0,200,161.934773
-200.0,200,162.052482
-200.0,200,162.172214
-200.0,200,163.471958
-200.0,200,163.632559
-200.0,200,163.767224
-200.0,200,163.902887
-200.0,200,164.031759
-200.0,200,164.14444
-200.0,200,164.263146
-200.0,200,164.386869
-200.0,200,164.506539
-200.0,200,164.626784
-200.0,200,169.495274
-200.0,200,172.839061
-200.0,200,176.184087
-200.0,200,179.529427
-200.0,200,182.876822
